,image_link,good_with_children,good_with_other_dogs,shedding,grooming,drooling,coat_length,good_with_strangers,playfulness,protectiveness,trainability,energy,barking,min_life_expectancy,max_life_expectancy,max_height_male,max_height_female,max_weight_male,max_weight_female,min_height_male,min_height_female,min_weight_male,min_weight_female,Origin,Size,Appearance,Temperament,Health,Lifespan,Breed group,Coat,Exercise needs,Training needs,Grooming,Breed Group,Training,Health concerns,Activity level,Grooming needs,Exercise Needs,The heartwarming family films “Homeward Bound,Weight,Color,Petey from “The Little Rascals,Energy level,Exercise,Suitability as a pet,"The Berger Picard has made its mark in the world of cinema, featuring in films like “Because of Winn Dixie,” “Homeward Bound II",Active,Energetic,Playful,Intelligent,Easy to train,Good with children,Wary of strangers,Hunting instincts,Country of origin,Original purpose,Height,Exercise requirements,Health problems,Colors,Trainability,Needs,They come in two coat varieties,Hybrid breed,Purpose,Other Dalmatian Names in History,“Bombón,"Published in 1933, Flush",There are five distinct varieties of the German Spitz,"Both parent breeds, the Siberian Husky and Golden Retriever, have made many appearances in movies over the years, including “Iron Will”, “Air Bud“, “Homeward Bound",Health Considerations,History,Digging Instinct,Suitability,Health issues,Popularity,The heartwarming film “Homeward Bound II,English Mastiff,Neapolitan Mastiff,Bullmastiff,Personality,Breed type,Parent breeds,Good with other pets,Orgin,Nicknames,Movie roles,TV mentions,Shiba Inu Lifespan,Pop Culture,Uses,"Currently, the AKC officially acknowledges the Yakutian Laika, whereas the Fédération Cynologique Internationale (FCI) recognizes three distinct Laika breeds"
Greater Swiss Mountain Dog,https://api-ninjas.com/images/dogs/greater_swiss_mountain_dog.jpg,5.0,3.0,3.0,2.0,3.0,1.0,5.0,4.0,4.0,4.0,4.0,3.0,8.0,11.0,28.5,28.5,140.0,110.0,25.5,25.5,115.0,85.0,Switzerland,Large,,"Gentle, affectionate, and intelligent",,8-11 years,Working,"Short and dense, in shades of black, white, and rust",Moderate,Easy to train,,,,"Hip dysplasia, elbow dysplasia, and eye problems",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greyhound,https://api-ninjas.com/images/dogs/greyhound.jpg,3.0,4.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,10.0,13.0,30.0,30.0,70.0,65.0,28.0,28.0,65.0,60.0,"Ancient breed, historically used for hunting and racing",60-70 pounds (27-32 kg),,Greyhounds are known for their gentle and calm nature. They are often reserved or aloof around strangers but form strong bonds with their families.,"Greyhounds are generally healthy, but they can be prone to certain conditions like bloat and heart issues. Regular veterinary care and a balanced diet are important for their well-being.",10-14 years,,"Short, sleek coat that comes in a variety of colors, including black, fawn, blue, brindle, and more.",,,Their short coat requires minimal grooming. Regular brushing helps keep their coat healthy and shiny.,,Greyhounds can be independent thinkers but are intelligent and capable of learning. Positive reinforcement and patient training methods work well with them.,,,,"Despite their racing history, Greyhounds have moderate exercise needs. They enjoy short bursts of activity but are also content lounging indoors.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrier,https://api-ninjas.com/images/dogs/harrier.jpg,5.0,5.0,3.0,1.0,2.0,1.0,4.0,4.0,3.0,4.0,4.0,5.0,12.0,15.0,21.0,21.0,60.0,60.0,19.0,19.0,45.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Havanese,https://api-ninjas.com/images/dogs/havanese.jpg,5.0,5.0,2.0,3.0,1.0,1.0,5.0,5.0,3.0,4.0,3.0,4.0,14.0,16.0,11.5,11.5,13.0,13.0,8.5,8.5,7.0,7.0,Cuba,Small,,"Playful, affectionate, intelligent, and friendly","Generally healthy breed, but can be prone to certain genetic conditions like hip dysplasia, cataracts, and heart issues.",14-16 years,,"Long, silky, and soft double coat",,,Regular brushing and occasional professional grooming is required.,Toy Group,Responds well to positive reinforcement and gentle training methods; can be a bit stubborn at times,,,,Moderate exercise requirements; daily walks and playtime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,https://api-ninjas.com/images/dogs/hokkaido.jpg,3.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,5.0,4.0,4.0,3.0,12.0,15.0,20.0,20.0,66.0,66.0,18.0,18.0,44.0,44.0,Japan,"Medium (18-20 inches at the shoulder, 30-60 pounds)",,"Intelligent, alert, loyal, affectionate, and good with children and other pets","Generally healthy, but can be prone to certain health problems, such as hip dysplasia, elbow dysplasia, and eye problems.",12-15 years,Working,"Thick, double coat that can be any color but the most common are black, red, brindle, and sesame","Active dogs that need plenty of exercise, such as a daily walk or playtime session.",,"Moderate grooming required to keep the coat from matting. Brush and comb regularly, and bathe every few months.",,"Generally easy to train, but can be stubborn, so patience and consistency are important.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hovawart,https://api-ninjas.com/images/dogs/hovawart.jpg,4.0,4.0,3.0,2.0,2.0,1.0,4.0,4.0,5.0,4.0,3.0,1.0,10.0,14.0,28.0,28.0,90.0,90.0,23.0,23.0,65.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibizan Hound,https://api-ninjas.com/images/dogs/ibizan_hound.jpg,3.0,5.0,2.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,5.0,3.0,11.0,14.0,27.5,27.5,50.0,45.0,23.5,23.5,50.0,45.0,"The Ibizan Hound is a sighthound that originated in the Balearic Islands of Spain. It is one of the oldest dog breeds in the world, and the breed was preserved for over 2,000 years.",,"Beezers are medium-sized dogs, with males standing 23.5 to 27.5 inches tall and weighing 45 to 50 pounds. Females are slightly smaller, standing 22.5 to 26 inches tall and weighing 40 to 45 pounds. They have a slender, elegant build with long, thin legs. Their coat is short and smooth, and can be red, white, or a combination of the two.","They are gentle, affectionate, and loyal dogs. They are also very intelligent and easy to train. However, they can be independent and stubborn at times. They are not good guard dogs, as they are too friendly with strangers.","Beezers are generally healthy dogs, but they are prone to some health problems, such as hip dysplasia, eye problems, and allergies.",They have a lifespan of 11 to 14 years.,,,,,,,,,"Ibizan Hounds are high-energy dogs that need plenty of exercise. They love to run and play, and they are also good swimmers. They may not be well-suited for apartment living, and they need a yard or other large area to run and play in.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Icelandic Sheepdog,https://api-ninjas.com/images/dogs/icelandic_sheepdog.jpg,5.0,4.0,3.0,2.0,2.0,1.0,3.0,3.0,4.0,5.0,4.0,4.0,12.0,14.0,18.0,18.0,30.0,25.0,18.0,18.0,30.0,25.0,"The Icelandic Sheepdog, as the name suggests, hails from Iceland. Brought to the country by Viking settlers over a thousand years ago, this breed has been an essential part of Icelandic farm life, helping with herding and protecting livestock in the challenging Nordic environment.",Icelandic Sheepdogs are small to medium-sized dogs. They typically stand around 16 to 18 inches (40 to 45 cm) at the shoulder and weigh between 20 to 30 pounds (9 to 14 kg).,,"Icelandic Sheepdogs are known for their friendly and outgoing nature. They tend to be affectionate with their families and get along well with children and other pets. Their herding instincts may lead them to be watchful and protective, making them good family companions and watchdogs.","Icelandic Sheepdogs are generally hardy and healthy dogs. However, like all breeds, they can be prone to certain genetic health issues. Hip dysplasia and inherited eye conditions are potential concerns in this breed.",12 to 15 years,,"Icelandic Sheepdogs have a double coat that helps protect them from the harsh Icelandic weather. The outer coat is medium-length and coarse, while the undercoat is soft and insulating. This coat requires regular brushing, especially during shedding seasons, to maintain its condition and prevent matting.",,,"The Icelandic Sheepdog’s coat requires regular maintenance. Weekly brushing helps keep shedding under control and prevents tangles. During shedding seasons, more frequent brushing might be necessary. Additionally, their ears should be checked and cleaned regularly to prevent ear infections.",Herding Group,"These dogs are intelligent and eager to please, which makes them quick learners. Positive reinforcement training methods work best with Icelandic Sheepdogs.",,,,"While not hyperactive, Icelandic Sheepdogs do have a moderate level of energy. Regular exercise, such as daily walks and playtime, is important to keep them mentally and physically stimulated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irish Red And White Setter,https://api-ninjas.com/images/dogs/irish_red_and_white_setter.jpg,5.0,5.0,2.0,2.0,2.0,1.0,5.0,3.0,3.0,5.0,5.0,3.0,11.0,15.0,26.0,26.0,60.0,50.0,24.5,24.5,42.0,35.0,,,,"Friendly, affectionate, playful, energetic",,10-12 years,,,,,,,"Intelligent and relatively easy to train, but can be stubborn and independent. Positive reinforcement methods are the most effective.",,,High,,,"60-75 pounds (male), 50-65 pounds (female)",,,,"Needs a lot of exercise, both physical and mental. At least 2 hours of exercise per day, and more if possible. This can include long walks, runs, hikes, or playing fetch. They also need plenty of mental stimulation, such as obedience training or agility training.",,,,,,,,,,,Ireland,Hunting,"23-27 inches (male), 21-25 inches (female)",,"Hip dysplasia, elbow dysplasia, eye problems",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irish Setter,https://api-ninjas.com/images/dogs/irish_setter.jpg,5.0,5.0,3.0,3.0,2.0,1.0,5.0,5.0,3.0,4.0,5.0,3.0,12.0,15.0,27.0,27.0,70.0,60.0,27.0,27.0,70.0,60.0,"Irish Setters are a gundog breed that originated in Ireland. Originally bred to hunt birds, some Irish Setters continue hunting them today.","Irish Setters are large dogs, typically standing 25-27 inches tall at the shoulder and weighing 60-70 pounds. They have long, silky coats and feathered ears.",,"Furthermore, Irish Setters are friendly, outgoing, and intelligent. They are playful and affectionate dogs that love to be around people.",,"Irish Setters have a lifespan of 12-15 years. Ultimately, they are generally healthy dogs, but some common health problems include elbow and hip dysplasia, eye problems, and cancer.",,"The Irish Setter’s coat is long, silky, and flowing. Though they can be any color, the most common colors are red, mahogany, and chestnut. Brush the coat daily to prevent matting.","Irish Setters need at least 30-60 minutes of exercise per day, they enjoy playing fetch, going for walks, and running around in the yard.",,,,"Considering Irish Setters are generally easy to train with positive reinforcement, they are eager to please their owners and learn new tricks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irish Terrier,https://api-ninjas.com/images/dogs/irish_terrier.jpg,5.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,5.0,3.0,3.0,3.0,13.0,15.0,18.0,18.0,27.0,25.0,18.0,18.0,27.0,25.0,Ireland,"Male: 18-20 inches (46-51 cm) tall at the shoulder, 35-45 pounds (16-20 kg); Female: 17-19 inches (43-48 cm) tall at the shoulder, 30-40 pounds (14-18 kg)",,"Feisty, loyal, intelligent, and playful","Some health problems that are common in the breed include hip dysplasia, elbow dysplasia, and eye problems.",12-15 years,Terrier,"Wiry, double coat that is red or wheaten in color",Moderate,,,,Requires early and consistent training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irish Water Spaniel,https://api-ninjas.com/images/dogs/irish_water_spaniel.jpg,3.0,3.0,1.0,3.0,2.0,1.0,3.0,5.0,3.0,5.0,3.0,1.0,12.0,13.0,24.0,24.0,68.0,58.0,22.0,22.0,55.0,45.0,Ireland,"Large (22-24 inches at the shoulder, 55-65 pounds)",,"Intelligent, playful, and loyal. Can be stubborn and independent at times.","Generally healthy, but can be prone to certain health problems, such as hip dysplasia, elbow dysplasia, and eye problems.",10-12 years,Sporting,"Curly, water-repellent coat that can be any color but the most common are black, red, wheaten, and liver","Active dogs that need plenty of exercise, such as a daily walk or playtime session.",,"Moderate grooming required to keep the coat from matting. Brush and comb regularly, and trim or hand-strip every few months.",,"Generally easy to train, but can be stubborn, so patience and consistency are important.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irish Wolfhound,https://api-ninjas.com/images/dogs/irish_wolfhound.jpg,3.0,4.0,3.0,2.0,2.0,1.0,3.0,3.0,5.0,3.0,3.0,1.0,6.0,8.0,34.0,34.0,120.0,105.0,32.0,32.0,120.0,105.0,Ireland,"Giant, typically standing 32-34 inches tall and weighing 120-180 pounds.",,"Gentle, dignified, and loyal","Generally healthy, but can be prone to some health problems, such as hip dysplasia and elbow dysplasia.",6-8 years,Hound,"Rough, wiry, and weather-resistant",Moderate,,,,Easy to train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italian Greyhound,https://api-ninjas.com/images/dogs/italian_greyhound.jpg,3.0,5.0,3.0,1.0,1.0,1.0,5.0,4.0,3.0,4.0,3.0,3.0,14.0,15.0,15.0,15.0,14.0,14.0,13.0,13.0,7.0,7.0,"Italian Greyhounds originated in Ancient Egypt and the Mediterranean. They became popular in Italy, where they were bred as companions for royalty and nobility.","They are small dogs, typically weighing 8 to 15 pounds and standing 13 to 18 inches tall at the shoulder.",,"They are gentle, affectionate, and playful dogs. They are good with children and other pets.","They are generally healthy dogs, but they are prone to some health problems, such as heart disease, eye problems, and allergies. It is important to take your dog to the vet for regular checkups to catch any health problems early.",12 to 15 years.,,,"Italian Greyhounds are relatively low-maintenance dogs and do not require a lot of exercise. However, they do enjoy playing fetch and regularly going for walks.",,"They have a short, smooth coat that is easy to groom.",,"Italian Greyhounds are intelligent dogs and are relatively easy to train. However, they can be stubborn at times, so it is important to be patient and consistent with training.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Russell Terrier,,,,,,,,,,,,,,,,,,,,,,,,England,"13-14 inches tall at the shoulder, 13-20 pounds",,"Energetic, playful, intelligent, stubborn",,13-16 years,,"Smooth, broken, or wire coat",High,,Moderate,Terrier,Needs early socialization and training,"Hereditary deafness, eye problems, luxating patellas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jack Russell Terriers have a strong natural instinct to dig, which is a behavior that stems from their history as working dogs. Providing them with designated digging areas can help manage this behavior.",,,,,,,,,,,,,,,,,,,
Jagdterrier,https://api-ninjas.com/images/dogs/jagdterrier.jpg,3.0,3.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,1.0,10.0,12.0,16.0,16.0,22.0,22.0,13.0,13.0,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese Akitainu,https://api-ninjas.com/images/dogs/japanese_akitainu.jpg,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,12.0,15.0,27.5,27.5,75.0,65.0,25.0,25.0,65.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese Chin,https://api-ninjas.com/images/dogs/japanese_chin.jpg,3.0,5.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,10.0,12.0,11.0,11.0,11.0,11.0,8.0,8.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese Spitz,https://api-ninjas.com/images/dogs/japanese_spitz.jpg,3.0,3.0,3.0,3.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,12.0,14.0,15.0,15.0,25.0,25.0,12.0,12.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese Terrier,https://api-ninjas.com/images/dogs/japanese_terrier.jpg,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,12.0,15.0,13.0,13.0,10.0,10.0,11.0,11.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jindo,https://api-ninjas.com/images/dogs/jindo.jpg,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,5.0,4.0,4.0,3.0,14.0,14.0,22.0,22.0,50.0,50.0,18.0,18.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kai Ken,https://api-ninjas.com/images/dogs/kai_ken.jpg,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,5.0,4.0,4.0,3.0,12.0,15.0,19.5,19.5,40.0,40.0,15.5,15.5,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karelian Bear Dog,https://api-ninjas.com/images/dogs/karelian_bear_dog.jpg,1.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,5.0,4.0,3.0,3.0,11.0,13.0,23.5,23.5,49.0,49.0,19.0,19.0,44.0,44.0,,,,"Intelligent, alert, loyal, independent, protective",,10-12 years,,,,,,,"Relatively easy to train, but they can be stubborn and independent.",,,Low,,,"44-50 pounds (male), 33-44 pounds (female)",,,,"Karelian Bear Dogs need a lot of exercise, both physical and mental. 2 hours of exercise per day is recommended.",,,,,,,,,,,Finland,Hunting,"21-24 inches (male), 19-22 inches (female)",,"Hip dysplasia, elbow dysplasia, eye problems",,,,,,,,,,,,,,,"Experienced owners, homes with no small children or other pets",,,,,,,,,,,,,,,,,,
Keeshond,https://api-ninjas.com/images/dogs/keeshond.jpg,5.0,5.0,3.0,3.0,2.0,1.0,5.0,5.0,5.0,5.0,4.0,4.0,12.0,15.0,18.0,18.0,45.0,45.0,18.0,18.0,35.0,35.0,Netherlands,Medium,,"Friendly, playful, and affectionate",,12-15 years,Spitz,"Double coat, with a soft, wooly undercoat and a harsh, outer guard coat. The guard coat is typically gray and black, with a white chest and markings on the legs and tail.",Moderate,Easy to train,,,,"Generally healthy, but can be prone to certain health conditions, such as hip dysplasia, elbow dysplasia, and eye problems",,,,,35-45 pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerry Blue Terrier,https://api-ninjas.com/images/dogs/kerry_blue_terrier.jpg,4.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,5.0,3.0,4.0,4.0,12.0,15.0,19.5,19.5,40.0,40.0,18.0,18.0,33.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kishu Ken,https://api-ninjas.com/images/dogs/kishu_ken.jpg,3.0,3.0,3.0,1.0,1.0,1.0,5.0,3.0,3.0,3.0,3.0,1.0,12.0,15.0,22.0,22.0,60.0,60.0,17.0,17.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Komondor,https://api-ninjas.com/images/dogs/komondor.jpg,3.0,2.0,1.0,4.0,2.0,1.0,3.0,3.0,5.0,4.0,3.0,3.0,10.0,12.0,30.0,27.0,130.0,110.0,28.0,25.0,110.0,88.0,Hungary,,,"Calm, gentle, protective","Hip dysplasia, elbow dysplasia, eye problems",10-12 years,,,,,,,Requires patience and consistency,,,High,,,"100-130 pounds (male), 80-110 pounds (female)",,,,,,,,,,,,,,,,,"27-31 inches (male), 25-29 inches (female)",Low to moderate,,,,,,,Livestock guardian dog,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kooikerhondje,,,,,,,,,,,,,,,,,,,,,,,,Netherlands,Small,,"Friendly, playful, and affectionate",,12-14 years,Sporting,"Medium-length, silky coat that is white with orange patches and black markings",Moderate,Easy to train,,,,"Generally healthy, but can be prone to certain health conditions, such as hip dysplasia, elbow dysplasia, and eye problems",,,,,20-25 pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korean Jindo Dog,,,,,,,,,,,,,,,,,,,,,,,,"South Korea. The Korean Jindo dog originates from the Jindo Island in South Korea, where they have existed for centuries. They evolved into a distinct and highly valued breed known for their hunting and loyal companion qualities.",Medium-sized. The medium-sized Korean Jindo dog stands around 18 to 22 inches (46 to 56 cm) in height at the shoulder and weighing between 35 to 50 pounds (16 to 23 kg).,,"Loyal, intelligent, adaptable, and healthy",,"12-15 years. The average lifespan of Korean Jindo dogs ranges from 12 to 15 years, with proper care and attention to their health and well-being.",,"Short and dense. Korean Jindo dogs have a dense, insulating undercoat, and a coarse, straight outer coat known for its water-resistant properties. The coat typically comes in various colors, including red, white, black and tan, and brindle.",,,,,,,,,,,"44-55 pounds (males), 33-44 pounds (females)",,,,,,,,,,,,,,,,,"20-22 inches (males), 18-20 inches (females)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuvasz,https://api-ninjas.com/images/dogs/kuvasz.jpg,3.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,5.0,5.0,3.0,3.0,10.0,12.0,30.0,30.0,115.0,90.0,28.0,28.0,100.0,70.0,"The Kuvasz is a Hungarian dog breed that has been around for centuries. They were originally bred as livestock guardians, and they are still used for this purpose today.","Kuvaszok are large dogs, with males standing 28-30 inches at the shoulder and weighing 115 pounds. Females are slightly smaller, standing 27 inches tall and weighing 80 pounds.","Kuvaszok have a white, double coat that is medium-length and wavy or curly. They require regular grooming to keep their coat clean and free of mats.","The Kuvasz is a protective, loyal, intelligent, independent, and gentle dog. They are known for their calm and dignified demeanor.",,The Kuvasz has a lifespan of 10-12 years.,,,,"Kuvaszok are intelligent dogs and can be trained to be obedient and well-behaved. However, they can be stubborn and independent, so early socialization and obedience training is essential.",,,,,,The Kuvasz requires weekly brushing and occasional baths. They may also need to be trimmed every few months.,,,,,,"Kuvaszok are high-energy dogs and require plenty of exercise. They enjoy long walks, hikes, and playing fetch.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kuvaszok are generally healthy dogs, but they are prone to some health problems, such as hip dysplasia, elbow dysplasia, bloat, and allergies.",,,,,,,,,,,,,,,,,
Labradoodle,,,,,,,,,,,,,,,,,,,,,,,,Australia. The Labradoodle was initially developed in Australia in the 1980s as a cross between a Labrador Retriever and a Poodle. The goal was to create a hypoallergenic guide dog for people with allergies.,Medium to Large,,"Labradoodle are friendly, intelligent, and social. Their intelligence makes them quick learners, and their affable nature makes them suitable as therapy and assistance dogs.","Some breed-specific concerns, such as hip dysplasia and eye issues.",10 to 15 years,,"Can vary (curly, wavy, or straight), usually low shedding",,,Regular grooming needed to prevent matting.,Hybrid (Designer),"Highly trainable, often excels in obedience. Consistent, positive reinforcement methods work well with this breed.",,,,"Moderate to High. Regular walks, playtime, and mental stimulation are important to keep them happy and healthy. They often enjoy activities such as fetch, agility, and swimming.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labrador Retriever,https://api-ninjas.com/images/dogs/labrador_retriever.jpg,5.0,5.0,4.0,2.0,2.0,1.0,5.0,5.0,3.0,5.0,5.0,3.0,10.0,12.0,24.5,24.5,80.0,70.0,22.5,22.5,65.0,55.0,"Newfoundland, Canada.",Males weig 65-80 pounds (29-36 kg) and females weigh 55-70 pounds (25-32 kg).,,"Friendly, outgoing, with a gentle nature. They are often described as one of the most family-friendly dog breeds and are great with children and other pets.","While generally healthy, Labradors can be prone to certain genetic health issues such as hip and elbow dysplasia and certain eye conditions. Responsible breeding and regular vet check-ups can help reduce these risks.",10 to 14 years.,,"The color of a Labrador Retriever’s coat is determined by its genes. The AKC breed standard specifies that the only acceptable colors for Labrador Retrievers are the black lab, chocolate lad, and yellow lad. However, some breeders may produce Labradors of other colors, such as white lab, silver lab, or charcoal lab. These colors are not recognized by the AKC, but they may be perfectly healthy and well-bred dogs.",,,The Labrador Retriever has relatively low grooming needs. Regular brushing and occasional baths are to keep their coat healthy.,Sporting,"They are highly intelligent and trainable, making them one of the most popular choices for working dogs, including search and rescue, therapy, and assistance dogs.",,,,"Labrador Retrievers are active dogs and require regular exercise and mental stimulation. They enjoy activities like fetch, swimming, and hiking.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"After a 31-year run as America’s most popular dog breed, Labs lost that title to the French Bulldog in 2023.",,,,,,,,,,,,,,,,
Lagotto Romagnolo,https://api-ninjas.com/images/dogs/lagotto_romagnolo.jpg,3.0,5.0,1.0,2.0,2.0,1.0,4.0,4.0,3.0,4.0,4.0,2.0,15.0,17.0,19.0,19.0,35.0,31.0,17.0,17.0,28.5,24.0,"Italy. There is evidence of the Lagotto Romagnolo being an ancient breed, as far back as during the time of the Etruscans.",Medium-sized.,,"Intelligent, playful, affectionate, and trainable.",,15-17 years.,,"Dense, curly, and water-resistant.",,,,,,,,,,,"28-35 pounds (males), 24-31 pounds (females).","Various shades of brown, white, and black.",,,,,,,,,,,,,,,,"17-19 inches (males), 16-18 inches (females).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland Terrier,https://api-ninjas.com/images/dogs/lakeland_terrier.jpg,3.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,12.0,15.0,15.0,15.0,18.0,18.0,14.5,14.5,15.0,15.0,"Lake District, England","Small, typically standing 13-15 inches tall and weighing 15-20 pounds.",,"Friendly, lively, and independent","Generally healthy, but can be prone to some health problems, such as cataracts and ear infections.",12-15 years,Terrier,Wiry and harsh,Moderate,,,,Easy to train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lancashire Heeler,https://api-ninjas.com/images/dogs/lancashire_heeler.jpg,5.0,5.0,3.0,1.0,1.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,12.0,15.0,12.0,12.0,17.0,17.0,10.0,10.0,9.0,9.0,England,"Small, typically standing 10-12 inches tall and weighing 13-26 pounds.",,"Intelligent, alert, and friendly","Generally healthy, but can be prone to some health problems, such as hip dysplasia and elbow dysplasia.",12-15 years,Herding,"Short, smooth, and weather-resistant",Moderate,,,,Easy to train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lapponian Herder,https://api-ninjas.com/images/dogs/lapponian_herder.jpg,3.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,10.0,14.0,20.0,20.0,70.0,70.0,18.0,18.0,70.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonberger,https://api-ninjas.com/images/dogs/leonberger.jpg,5.0,3.0,4.0,4.0,3.0,1.0,5.0,3.0,4.0,5.0,3.0,3.0,7.0,7.0,31.5,31.5,170.0,140.0,28.0,28.0,110.0,90.0,Germany,"Large, typically standing 28-31 inches tall and weighing 120-170 pounds.",,"Gentle, loyal, intelligent, and trainable.","Generally healthy, but can be prone to some health problems, such as hip dysplasia, elbow dysplasia, and heart problems.",8-10 years,Working dog,"Long, thick, and lion-like. Can be golden, red, or brown.",High. They need at least 2 hours of exercise per day.,,,,"Leonbergers are intelligent dogs and are relatively easy to train. However, they can be stubborn at times, so early socialization and training is important.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
