dog_breed,review
Norwegian Lundehunds," Many prospective owners find the Norwegian Lundehund's appearance immediately attractive. Size is between small and medium-sized, a perfect size for many households. The short coat is easy to groom and the color pattern is lovely. Moving with a light, springy gait, the Lundehund is as swift, graceful, and agile as a fox, and is a surefooted climber and jumper. Happy and playful, the Norwegian Lundehund will pounce on his food and toys, grasping them with his toes and tossing them into the air like a cat catching a mouse. He also hides his food and toys, going to great lengths to find just the right place to stash his treasures. The Lundehund is not just observant – he is hyper-observant, 100 percent aware of his surroundings, in the same way a wild or feral dog is. He will sound the alarm at anything out of the ordinary, not from a position of aggression, but from a position of defensiveness. The Lundehund is wary of strangers and requires early and extensive socialization to build a confident temperament. Training is a challenge. Norwegian Lundehunds learn quickly, but not necessarily what you want them to learn! Instead their intelligence is more like cleverness, where the dog decides what he wants, then goes about getting it. Lundehunds are persistent problem-solvers and master manipulators. They are not deterred by obstacles such as cupboard doors blocking their access to tasty food. Confinement to a crate or back yard is just one more obstacle to overcome. And if they outsmart you once, they remember. Housebreaking is notoriously difficult – some Lundehunds are never completely housebroken and require a doggy door to the outdoors. The door should lead into a small confined potty area with a high fence. These cliever, athletic dogs can both jump and climb! The most serious concern with Norwegian Lundehunds is their health. The lifespan of this breed is unpredictable because of severe inherited intestinal disorders that are embedded in the breed's gene pool. These intestinal disorders are forms of colitis, also called inflammatory bowel syndrome or protein-losing enteropathy. Norwegian Lundehunds require a high-protein, low-fat, homemade diet, plus regular bloodwork and fecal tests throughout their life. If you want a dog who... A Norwegian Lundehund may be right for you. If you don't want to deal with... A Norwegian Lundehund may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Norwegian Lundehund If I was considering a Norwegian Lundehund, I would be most concerned about..."
Norwich Terriers," True representatives of what a terrier is supposed to be, Norwich Terriers are full of fire and stubborn assertiveness. Yet they are more agreeable and companionable than some other terriers. The Norwich Terrier can adapt to any home with moderate exercise (brisk walks and active play sessions) and lots of companionship. These sociable dogs like to be with their owners and demand full participation in all activities. Their reaction to strangers may be friendly, but is more often a bit reserved. Because of this, Norwich Terriers do need more socialization than some other terriers, so their natural caution doesn't become exaggerated. These alert dogs make excellent watchdogs, but are not aggressive. Norwich Terriers usually get along (though can be a bit jealous, possessive, and bossy) with other dogs and cats in the family. Being true terriers, they tend to be feisty with strange pets. Norwich Terriers require a leash or fence at all times, as they are inquisitive and independent dogs with strong chasing instincts. To the casual eye, the Norwich Terrier is virtually identical to the Norfolk Terrier, with the most obvious difference being ear carriage The Norwich has pricked ears, while the Norfolk has drop ears. In temperament, some terrier enthusiasts say the Norwich Terrier has a milder-mannered temperament than the Norfolk, but it's really a matter of individual personality. If you want a dog who... A Norwich Terrier may be right for you. If you don't want to deal with... A Norwich Terrier may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Norwich Terrier If I was considering a Norwich Terrier, I would be most concerned about... I don't recommend terriers for home with small children. Many terriers will not tolerate any nonsense from little life forms whom they consider to be below themselves in importance. Many terriers are quick to react to teasing, and even to the normal clumsiness that comes with small children (accidental squeezing of their ears or stepping on their paw). Many terriers are possessive of their food and toys and will defend these from all comers, including children."
Nova Scotia Duck Tolling Retrievers," To the casual eye, the Nova Scotia Duck Tolling Retriever looks somewhat like a Golden Retriever, but with a more copper-colored coat and white markings. But in temperament, these breeds are very different. Compared to Golden Retrievers, most Tollers are less submissive, less outgoing with strangers, and less adaptable to a low-exercise household. This high-energy breed is a joy in the right hands – but ""too much dog"" for someone who is looking for an eager-to-please couch potato. High-spirited and playful, quick moving and agile, the Nova Scotia Duck Tolling Retriever needs plenty of exercise, especially fetching and swimming. Mental exercise (advanced obedience, agility, tracking, field work) is just as important. This breed is not a good choice for a casual pet. Reaction to strangers varies from reserved to curious, but often includes some initial caution. He needs early and ongoing socialization to avoid suspiciousness or timidity. The Toller is usually fine with other family pets. He may chase your cat, but seldom means any harm. Though bright and clever, most Nova Scotia Duck Tolling Retrievers are easily distracted and easily bored, which can make training more difficult. Other Tollers are surprisingly strong-willed, testing your rules to see what they can get away with. You must demonstrate consistent leadership and keep training sessions short, upbeat, and challenging. As with all retrievers, the Toller can be ""mouthy"" – you must control his tendency to chew on objects and to mouth your hands. Provide a box filled with toys so he can carry something around in his mouth. When excited or anxious, Tollers tend to whine and ""whistle"", which can be irritating when done to excess. If you want a dog who... A Nova Scotia Duck Tolling Retriever may be right for you. If you don't want to deal with... A Nova Scotia Duck Tolling Retriever may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Nova Scotia Duck Tolling Retriever If I was considering a Nova Scotia Duck Tolling Retriever, I would be most concerned about... If you want an easy-to-live-with pet who doesn't need much exercise and sleeps most of the day, this is not the breed for you. Most Tollers want to run and hike and swim and play fetch games and participate in field work (hunting), or agility (obstacle course), or advanced obedience, or tracking, or a similar canine activity."
Old English Sheepdogs," Good-natured and sociable, enthusiastic and bumptious, the Old English Sheepdog does best in the suburbs or country, with at least an hour of daily exercise and space to romp. The OES (or ""Sheepie"") loves people, can be quite the clown, and is demanding of attention. If left without the companionship of humans or other pets, he will become unhappy, destructive, and noisy. Most Old English Sheepdogs are polite with strangers. They make sensible watchdogs with a deep, ringing bark, but they're not guard dogs. In fact, there is timidity and skittishness in some lines, sharpness in others. Extensive socialization is important to develop a confident, stable temperament. Like other herding breeds, a few Old English Sheepdogs may try to ""herd"" children and other pets by circling, poking, or nipping at them. However, since the vast majority of Old English Sheepdogs are bred to be show dogs or pets, rather than working sheepdogs, their herding instincts are typically diminished or absent. The rustic Old English Sheepdog is not for fastidious households. He tracks in mud, splashes in his water bowl, and affectionately thrusts his wet and/or dirty beard into your lap. Some individuals drool. If you want a dog who... An Old English Sheepdog may be right for you. If you don't want to deal with... An Old English Sheepdog may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Old English Sheepdog If I was considering an Old English Sheepdog, I would be most concerned about... If you leave the coat long, the Sheepie manifests ""shaggy dog syndrome."" This is where leaves, mud, snow, fecal matter, and other debris cling to the coat and ends up all over your house. When he drinks, his beard absorbs water, which drips on your floors when he walks away. When he eats, his beard absorbs food so that when he sniffs your face or presses his head against your leg, YOU end up dirty, too. Big shaggy dogs are not suited to fastidious housekeepers!"
Otterhounds," The Otterhound has been described as a ""big friendly dog with a mind of his own."" Though amiable and easygoing, this rugged dog belongs in a rural area with an outdoorsy owner who can give him the exercise he loves. Swimming is an especially appreciated form of recreation. These hunting hounds were born to dive into water, whether it be a lake or a puddle. Or he might simply submerge his shaggy head in his drinking bowl and come up shaking. A leash or secure fence is a must at all times, for the nose of this great hunter is exquisitely sensitive, always seeking out new and exciting scents. Once he's latched on to something, his perseverance and determination (like those of his relative, the Bloodhound) are legendary. Otterhounds tend to shamble along with a loose, shuffling gait, without lifting their big feet much off the ground. The Otterhound's reaction to strangers varies from friendly to reserved. Most are good watchdogs but not guard dogs.  Most Otterhounds are fine with other dogs, but remember his hunting heritage – small pets are not always safe. Obedience training takes time and effort, for he is stubborn and independent. But not usually dominant; in other words, though he'll be slow to obey, he'll be good-natured about it! With their propensity for slobbering water, lumbering around in a rather klutzy manner, and tracking in mud with their hairy webbed feet, Otterhounds are not good choices for fastidious housekeepers or those with no sense of humor. Also they have a loud, deep, distinctive bay that carries for amazingly long distances. Your neighbors will not appreciate it if you leave an Otterhound outside, unsupervised. If you want a dog who... An Otterhound may be right for you. If you don't want to deal with... An Otterhound may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Otterhound If I was considering an Otterhound, I would be most concerned about... Otterhounds should not be trusted off-leash. They will take off – oblivious to your frantic shouts – after anything that emits an odor or runs."
Papillons," The Papillon shares top billing with the Toy Poodle as the brightest and most trainable of the toy breeds. Indeed, the spirited, athletic Papillon is commonly chosen by obedience or agility trainers who want a top-notch competition dog in a very small package. Indoors and out, Papillons are lively and playful, yet also light-footed and graceful – not likely to topple lamps. But that doesn't mean everyone who is looking for a toy breed should acquire a Papillon. They're not the best choice, for example, if you want a calm, cuddly lapdog. Most Papillons are active, inquisitive dogs, especially when they're young. They don't like to sit still for very long. My own Papillon (that's Jenna in the photo above) is frequently in motion and obsessed with retrieving squeaky balls – for hours. She is also clever and creative and will entertain herself by making up her own games. The Papillon learns very quickly and responds well to training methods that emphasize praise and food. These sensitive dogs wilt if you jerk them around on the leash. However, obedience may not be instantaneous. Some Papillons, especially females, can be manipulative and will try to charm you out of making them do things they don't want to do. If that fails, they'll try sulking. You need to be both gentle and persistent if you are to outwit these clever girls. Papillons are alert dogs with keen senses. That means they not only sound the alarm when people are actually at the door, but also when people are walking along the street or puttering in the garden next door. In other words, excessive barking can occur and must be dealt with. This is a common trait in most toy breeds. Most Papillons are polite with strangers, though often standoffish. As with all sweet-natured breeds, socialization is very important to build a confident attitude toward people. Papillons can be touch-sensitive and can be overwhelmed by the roughhousing and mischief of small children. This breed does better in an adult-only home. With other animals, surprisingly, the Papillon is not as submissive as you might think. In fact, some Papillons are possessive and bossy, especially toward larger dogs. This can be dangerous, as the quick-moving Papillon may be viewed as prey. Note that I said ""quick-moving Papillon."" A hallmark of this breed is how quickly they move. These swift little dogs can zip through a cracked door and be gone in an instant. Our petsitter calls our Papillon a ""spirit"", because ""First she's here, then she's there.... but we never actually see her move, she's like a blur!"" Along the same lines, Papillons have lightning-quick reflexes and retain sporting instincts from their spaniel heritage. They will stalk and pursue birds, squirrels, mice, lizards, even flying insects. This is not a breed to let off-leash at the park unless very well-trained. You do have to watch your lines. Some Papillons are dainty, even high-strung, while others are more confident and outgoing. Much depends on genetics (parents' and grandparents' temperament) and the rest on socialization and training. If you want a dog who... A Papillon may be right for you. If you don't want to deal with... A Papillon may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Papillon If I was considering a Papillon, I would be most concerned about... Papillon puppies are not suited to toddlers, no matter how well-meaning the child. Children cannot help being clumsy, and that a child meant well is little solace to a Papillon who has been accidentally stepped on, sat on, rolled on, squeezed, or dropped onto the patio. Even adult Papillons may feel overwhelmed by the loud voices and quick movements that children can't help making, and stress and fearfulness may be the result."
Pekingese," The AKC Standard says the Pekingese ""should imply courage, boldness, and self-esteem, rather than prettiness, daintiness, or delicacy."" Indeed, the Pekingese is dignified, supremely confident, and one of the most independent (and stubborn) of the toy breeds. Calm and quiet indoors, the Peke is content to lie on the sofa cushions much of the time, observing his kingdom with his direct, inscrutable gaze. Yet he will also surprise you with sudden bursts of comic playfulness. Some individuals are more lively than others. Most Pekingese are loyal to their owner without being clingy. They are usually polite with strangers and other animals. This proud, self-possessed dog is a superb choice for an adults-only home, and especially for senior citizens. But I don't recommend him with children, as he won't meekly submit to mischief or rough handling from anyone. He can also be possessive of his food and toys. The Pekingese can be exasperatingly willful, but also surprisingly sensitive. He resents being jerked around or even scolded. However, if he respects you, he will be well-mannered without much formal training required. With his short (unfortunately deformed) face, he must go through life snorting, snuffling, sneezing, and snoring. If you want a dog who... A Pekingese may be right for you. If you don't want to deal with... A Pekingese may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Pekingese If I was considering a Pekingese, I would be most concerned about... Instead you should establish the right relationship where you are the leader and he is the follower. In other words, you must teach your Pekingese to respect you. Read more about Pekingese training."
Pembroke Welsh Corgis," Spirited and athletic, steady and dependable, the Pembroke Welsh Corgi is a true ""big dog on short legs."" Herding, obedience, agility, or chasing balls (with surprising speed) are enjoyable outlets for his enthusiasm and desire to work. Corgis are smart dogs who need something to do. If his days include such moderate exercise, along with the loving companionship of his family, the Pembroke Welsh Corgi is adaptable and easy to live with. He is polite with guests, reserved with strangers, and makes an alert watchdog. Often too alert – Corgis can be serious barkers. Most Pembroke Welsh Corgis are fine with other family pets. But they're often territorial with strange dogs and cats – as a working farm dog, one of his responsibilities was to chase strays away from his own farm. Corgis are wonderful with livestock, including horses. This attentive breed learns quickly and responds well to obedience training – better than his close cousin, the Cardigan Welsh Corgi. Yet he has the independent judgment and problem-solving abilities of a true herding breed, so you must have the confidence to establish and consistently enforce rules, or he may make up his own. If you want a dog who... A Pembroke Welsh Corgi may be right for you. If you don't want to deal with... A Pembroke Welsh Corgi may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Pembroke Welsh Corgi If I was considering a Pembroke Welsh Corgi, I would be most concerned about... I recommend that you get your Pembroke Welsh Corgi involved in regular obedience classes (beyond the beginners level – join a dog club and go every week). Also consider agility classes (an obstacle course for dogs) or even herding, if there is a herding club in your area. Also consider my book, Teach Your Dog 100 English Words, because teaching your dog words and games stimulates his brain and keeps him happy!"
Petit Basset Griffon Vendeen," The AKC Standard says, ""Bold and vivacious in character... tough and robust in construction... an alert outlook, lively bearing, and a good voice freely used."" I just love that last phrase: ""a good voice freely used."" It means, ""They bark and bay, especially when hunting, but also when restless or bored or left alone too much."" The Petit Basset Griffon Vendeen (PBGV or ""Petit"", for short) is actually more like a terrier than a basset. In other words, he is lively, enthusiastic, curious, reacts quickly to interesting scents and sudden movements, and is always looking for something to do. The PBGV plays vigorously and needs long daily walks and frequent romps. But this inquisitive sniffing machine should not be trusted off-leash, for he is a confirmed chaser who will follow his nose, right into trafic. He may sound off (in a surprisingly deep bass) when strangers enter his territory, but then he welcomes them with happy wags. This is not a guard dog! Most PBGVs are also extroverted with other dogs and cats. But with his hunting background, pet rabbits and rodents are not a wise addition to the household. This stubborn, clever little hound requires an owner who knows when to laugh at his appealing whiskery face and mischievous antics – and when to be firm and in control. Not recommended for novice owners or couch potatoes. If you want a dog who... A Petit Basset Griffon Vendeen may be right for you. If you don't want to deal with... A Petit Basset Griffon Vendeen may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Petit Basset Griffon Vendeen If I was considering a Petit Basset Griffon Vendeen, I would be most concerned about... The Petit Basset Griffon Vendeen should not be trusted off-leash. These hunting hounds will take off, oblivious to your frantic shouts, after anything that runs. The longer the coat is, the more a PBGV displays ""shaggy dog syndrome."" This is where leaves, mud, snow, fecal matter, and other debris cling to the coat and ends up in your house. When he drinks, his beard absorbs water, which drips on your floors when he walks away. When he eats, his beard absorbs food so that when he sniffs your face or presses his head against your leg, YOU end up dirty, too. Shaggy dogs are not suited to fastidious housekeepers!"
Pharaoh Hounds," The AKC Standard says, ""Of noble bearing with hard clean-cut lines... very fast with a marked keenness for hunting."" The Pharaoh Hound belongs to a family of dogs called sighthounds, which were originally developed to hunt other animals. The slender, long-legged sighthound hunts by spotting movement across a vast distance, then running the animal down with lightning speed. The Pharaoh Hound is athletic and playful, light on his feet and a jumper par excellence. Pharaoh Hounds move gracefully through your house, though some sprinting and leaping should also be expected. This breed can be most entertaining if you have a sense of humor. Pharaoh Hounds are fond of being comfortable and can curl themselves into a surprisingly compact ball to fit whichever nook or cranny has the softest blankets. The Pharaoh Hound needs a good deal of exercise, but is so swift and agile and has such powerful chasing instincts that he must be allowed to run only in a safe, enclosed area. Otherwise he'll be out of sight in a jiffy, pursuing anything that runs. Usually sociable with other dogs, Pharaoh Hounds will pursue any smaller animal that runs. Though extremely alert and quick to announce strangers, the Pharaoh Hound is not a guard dog. Indeed, he is both curious and cautious, hesitantly investigating new people, places, sights, and sounds. Early and ongoing socialization is required to avoid suspiciousness and build confidence. Unlike most breeds in the sighthound family, the Pharaoh Hound can be quite a barker! This sensitive breed prefers peace and quiet and soft-spoken people. He does not do well in an environment with chronic tension or loud voices. This independent thinker is also sensitive to correction, so he should be handled calmly and motivated with food and praise. Sighthounds are often touch-sensitive, tending to startle when touched unexpectedly and uncomfortable when cuddled excessively. A verbal correction and verbal praise can be more effective than physical touch, because they are less distracting to the dog. If you want a dog who... A Pharaoh Hound may be right for you. If you don't want to deal with... A Pharaoh Hound may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Pharaoh Hound If I was considering a Pharaoh Hound, I would be most concerned about... See if there is a dog club in your area that offers an activity called lure coursing, which is chasing a mechanical lure in a controlled setting. This is an appropriate outlet for the full-speed galloping behaviors that are ""hardwired"" into your Pharaoh Hound's genes. If you have toddlers, I do not recommend a Pharaoh Hound. These sensitive dogs often feel overwhelmed by the loud voices and quick movements that children can't help making – and stress and shyness may be the result."
Polish Lowland Sheepdogs," The Polish Lowland Sheepdog (nicknamed PON from his Polish name ""Polish Owczark Nizinny"") is a lively working dog. Strong and durable, athletic and agile, he requires daily exercise and does best with active outdoorsy owners. Mental stimulation in the form of advanced obedience classes, agility classes, or herding livestock, is even more important to this intelligent breed. When these needs are met, the Polish Lowland Sheepdog is calm and stable and settles down happily indoors. Somewhat aloof and suspicious of strangers, the PON makes a vigilant watchdog. In fact, socialization must be early and thorough so that his watchfulness does not sharpen into suspiciousness or shyness. Most Polish Lowland Sheepdogs are dominant toward other dogs, especially of the same sex. Those with a high prey drive are not reliable around little creatures that run or flutter. These confident dogs were bred to think independently and make their own decisions, and they will do exactly that unless you take charge and establish the rules. They are persistent problem-solvers (""If I can't get what I want this way, maybe I can get it this way."") and can be dominant and manipulative. Not a good breed for a novice owner. Nor is this rustic (shaggy) breed a good choice for the immaculate household. Mud, snow, and leaves cling to his tousled coat, and his beard collects water and food remnants and can become matted and smelly. If you want a dog who... A Polish Lowland Sheepdog may be right for you. If you don't want to deal with... A Polish Lowland Sheepdog may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Polish Lowland Sheepdog If I was considering a Polish Lowland Sheepdog, I would be most concerned about... If you leave the coat long, the Polish Lowland Sheepdog manifests ""shaggy dog syndrome."" This is where leaves, mud, snow, fecal matter, and other debris cling to the coat and ends up in your house. When the dog drinks, his beard absorbs water, which drips on your floors when he walks away. When he eats, his beard absorbs food so that when he sniffs your face or presses his head against your leg, YOU end up dirty, too. Shaggy dogs are not suited to fastidious housekeepers!"
Pomeranians," The AKC Standard says the Pomeranian is ""inquisitive by nature... cocky, commanding, and animated."" That he is. Vivacious and spirited, bold and brash, the typical Pomeranian thinks he's ""hot stuff."" This sharp-eyed busybody likes to check out every sight, sound, and activity – and tell you what he thinks about it. He is delightfully alive and aware of everything going on around him. Keenly alert to approaching strangers, the Pomeranian makes a great alarm dog. But this can easily get out of hand, so he requires early socialization so that he doesn't become sharp or shrill. Most Pomeranians are fine with other pets. It is a tribute to their amiability that male Pomeranians can often run and play together with little or no bickering. Some Poms, though, are bossy and will attempt to chase strange dogs, regardless of size. The Pomeranian is very bright and will look directly at you, cocking his head attentively. BUT he is not inclined to take orders from anyone whom he views as below himself in importance. So don't allow him to make the rules or you will lose control over his behavior. For example, don't allow him to act possessive of his food or toys, and control his barking from day one. This proud, self-possessed little breed won't meekly submit to mischief or rough handling and is not a good choice for children. If you want a dog who... A Pomeranian may be right for you. If you don't want to deal with... A Pomeranian may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Pomeranian If I was considering a Pomeranian, I would be most concerned about... Pomeranian puppies are not suited to toddlers, no matter how well-meaning the child. Children cannot help being clumsy, and that a child meant well is little solace to a Papillon who has been accidentally stepped on, sat on, rolled on, squeezed, or dropped onto the patio. Even adult Poms may feel overwhelmed by the loud voices and quick movements that children can't help making, and stress and fearfulness may be the result. Also many Pomeranians won't tolerate any nonsense from children."
Standard Poodles," Many people have misconceptions about Poodles -- that they look and act like ""sissy"" dogs. That is one of the biggest myths in dogdom. First, ignore the silly show-ring clips. Poodles can be clipped into shorthaired, normal -looking dogs who are a snap to brush. Poodles also have the advantage of being the lightest-shedding, most hypoallergenic of all coated breeds. Second, Standard Poodles are elegant, energetic athletes who move with a light, springy gait. They excel in advanced obedience competition, where retrieving and jumping skills are required, and in agility (obstacle course) competitions, where they fly over and under and through the obstacles with a strength and grace that is breathtaking to watch. Even better, a good Standard Poodle is one of the smartest and most trainable of all breeds. He is a ""thinking"" dog who pays rapt attention to his owner, learns quickly, and responds eagerly to positive training methods. Indeed, Standard Poodles NEED some sort of mental stimulation in order to be happy -- advanced obedience classes (not just basic), agility classes, or challenging games such as hide 'n seek, or fetching a variety of named toys. This intelligent breed cannot simply sit in the backyard and be ignored. Most Standard Poodles make great watchdogs and some even have mild (and sensible) protective instincts, but this is not an aggressive breed. Their attitude toward people varies from friendly to politely reserved. Early socialization is important to avoid excessive watchfulness or timidity. With other dogs and cats, Standard Poodles are usually peaceful and accepting. However, this breed is by no means perfect or low-maintenance. Besides the regular clipping (every 4-6 weeks), they need a good deal of daily exercise. Their energy level varies from moderate to high and they require brisk walks, jogging, swimming, and/or vigorous play sessions to keep them fit, satisfied, and calm indoors. Standard Poodles also need a lot of daily companionship. They suffer from loneliness and separation anxiety if left alone too much. Most Standard Poodles are ""soft"" and sensitive dogs, sometimes hypersensitive. If you touch them unexpectedly or startle them with a sudden loud sound, they tend to flinch. The most sensitive individuals are not good with small children. Similarly, Standard Poodles can get emotionally upset if there's too much activity or conflict or roughhousing in your household -- they prefer peace and harmony. You do have to watch your lines: some Standard Poodle lines are high-strung, nervous, even neurotic. If you want a dog who... A Standard Poodle may be right for you. If you don't want to deal with... A Standard Poodle may not be right for you. Keep in mind that the inheritance of temperament  is less predictable than the inheritance of physical  traits such as size or shedding. Temperament and behavior are also shaped by raising and training. ""Respect Training for Puppies""  (or ""Respect Training for Adult Dogs"" ) is a step by step guide to help you bring out the best in your pup so you can enjoy a calm and well-behaved dog, no matter what his age. Get your book today. ""11 Things You Must Do Right To Keep Your Dog Healthy and Happy""  is a comprehensive guide to keeping your dog mentally, physically, and emotionally happy and healthy so you can enjoy a longer lifetime of companionship. A healthy dog is a happy dog, so buy your copy today.  More traits and characteristics of the Standard Poodle If I was considering a Standard Poodle, I would be most concerned about... It makes me sad to see these extremely intelligent and capable dogs relegated to homes where the owner just wanted a casual pet. It's a waste of a brilliant breed. I strongly encourage you to get your Standard Poodle involved in advanced obedience classes and agility (obstacle course) classes at your local dog club. These dogs deserve it."
Toy Poodles," Many people have misconceptions about Poodles – that they look and act like ""sissy"" dogs. That is one of the biggest myths in dogdom. First, ignore the silly show-ring clips. Poodles can be clipped to look like normal dogs. See the pic of my cream Poodle, Buffy? It takes me 15 minutes every 6 weeks to run over her coat with a handheld clipper (#5 blade) and turn her into a shorthaired, normal-looking dog who is a snap to brush. Poodles also have the advantage of being the lightest-shedding, most hypoallergenic of all coated breeds. If you have allergies, a Poodle is the safest breed for you. Second, far from being sissy cushion-sitters, Toy Poodles are miniature athletes. They excel in advanced obedience competition, where retrieving and jumping skills are required, and in agility (obstacle course) competitions, where they fly over and under and through the obstacles with a strength and grace that is breathtaking to watch.  I do need to mention the two different builds, though. The correct build for the breed is ""square"", which means their legs are long enough that their height is approximately equal to their length. These Toy Poodles are both elegant and athletic, moving with a light, springy gait. Other Toy Poodles are built lower to the ground, with short legs and a long back -- these dogs have inherited a physical deformity called chondrodysplasia. They don't have the same elegance or agility as square Toy Poodles and they are more susceptible to disk disease. But whatever the build, a good Toy Poodle is one of the smartest and most trainable of all breeds. He is a ""thinking"" dog who pays rapt attention to his owner, learns quickly, and responds eagerly to positive training methods. Indeed, Toy Poodles NEED some sort of mental stimulation in order to be happy, even if it's just challenging games such as hide 'n seek, or fetching a variety of named toys. This intelligent breed cannot simply sit in the backyard and be ignored. Most Toy Poodles make great watchdogs -- they will bark sharply at the door and they tend to be reserved (though polite and non-aggressive) with strangers. But there are also individuals like my dog Buffy, ""who never met a stranger."" (She loves everyone.) With other dogs and cats, Toy Poodles are peaceful and accepting. However, this breed is by no means perfect. Besides the regular clipping, they do need daily exercise, as they are lively dogs. And they do need a lot of daily companionship. They suffer from loneliness and separation anxiety if left alone too much. Poodles also learn ""patterns"" so quickly that they tend to anticipate everything you're going to do next, which can be disconcerting. They expect their routines to always be the same, and they can get flustered if you change things. Poodles are ""soft"" and sensitive dogs, sometimes hypersensitive. If you touch them unexpectedly or startle them with a sudden loud sound, they tend to flinch. The most sensitive individuals are not good with small children. Similarly, Toy Poodles can get emotionally upset if there's too much activity or conflict or roughhousing in your household -- they prefer peace and harmony. You do have to watch your lines: some Toy Poodle lines are too high-strung and nervous, and this is where you'll find those neurotic Poodles that people scoff at. But much also depends on socialization and training -- i.e., when brought out to experience the world and treated like an intelligent, capable fellow, he is likely to live up to these expectations. However, Toy Poodles are not for children. Some Toy Poodles are such gentle souls they are overwhelmed by the roughhousing and mischief of small children, while others simply won't put up with it.  If you want a dog who... A Toy Poodle may be right for you. If you don't want to deal with... A Toy Poodle may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Toy Poodle If I was considering a Toy Poodle, I would be most concerned about... Professional groomers will sculpture your poodle with a shaved face, a topknot on his head, and a pom pom on his tail. That's the frou-frou look that keeps so many people from choosing a poodle. Now, if you like that look, fine. But if you don't like it, just take control of how the groomer clips your dog. Or learn how to do it yourself – it's really easy. See girl Buffy below. (She is a purebred poodle, but larger than a Toy and smaller than a Miniature.) Short coat, whiskery face, short ears, nothing shaved, no topknot or pompoms. Many people are surprised to find out that she's a Poodle. ""She looks like a normal dog,"" they say. Works for me! "
Portuguese Water Dogs," The AKC Standard calls him ""an animal of spirited disposition, self-willed, brave, and very resistant to fatigue."" Emotionally the Portuguese Water Dog is stable and sensible. Physically he is lively and athletic, poised for any activity. He loves to play and needs vigorous exercise: long walks, occasional runs, and swimming whenever possible, for he is a master swimmer and diver. Mental stimulation is just as important to this clever, thinking breed. Get him involved in the sport of agility or advanced obedience, and play lots of vigorous fetching games. If you're not an outdoorsy person or if you just want an undemanding pet, this is not the breed for you. When well socialized, his reaction to strangers varies from friendly to polite, but he should always remain steadfast and hold his ground. This observant breed makes a fine watchdog, but not a guardian. Most Portuguese Water Dogs are accepting of other pets when raised with them. PWDs are strong-minded, with an independent streak and a wicked sense of humor. Consistent leadership is a must. A natural retriever, the Portuguese Water Dog is a very mouthy dog who will pick up everything in his path, chew up both edible and inedible objects, and try to gnaw on your hands. Provide a box filled with toys so he can satisfy his oral fixation by carrying something around in his mouth. Youngsters are especially rambunctious, bore easily, and without enough attention and structured activity can excavate vast chasms in your yard. If you want a dog who... A Portuguese Water Dog may be right for you. If you don't want to deal with... A Portuguese Water Dog may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Portuguese Water Dog If I was considering a Portuguese Water Dog, I would be most concerned about... It's tempting for owners to think that all misbehaviors can be solved by training. That's not true. Many misbehaviors are caused by the owner failing to provide smart, lively breeds with enough exercise and interesting things to do. So choose your breed wisely!"
